Date,Concatenate,Day,Month,Year,Band,Headline,Support,Venue,Notes
1 January 1983,On this day in 1983 Mike saw Whitesnake supported by Samson at Manchester Apollo,1,1,1983,Whitesnake,Whitesnake,Samson,Manchester Apollo,
7 January 2022,"On this day in 2022 Mike saw Tricky, Buzzcocks, at Rockaway Beach Festival, Bognor Regis Butlins",7,1,2022,Rockaway Beach Festival,,"Tricky, Buzzcocks",Bognor Regis Butlins,
8 January 2022,"On this day in 2022 Mike saw Crows, Imperial Wax, Italia 90, Truuuces, Thousand Yard Stare, at Rockaway Beach Festival, Bognor Regis Butlins",8,1,2022,Rockaway Beach Festival,,"Crows, Imperial Wax, Italia 90, Truuuces, Thousand Yard Stare",Bognor Regis Butlins,
9 January 2022,"On this day in 2022 Mike saw House of Love, October Drift, at Rockaway Beach Festival, Bognor Regis Butlins (this was Mike's final gig)",9,1,2022,Rockaway Beach Festival,,"House of Love, October Drift",Bognor Regis Butlins,Mike's final gig
10 January 1991,On this day in 1991 Mike saw House of Love at Cambridge - The Junction,10,1,1991,House of Love,House of Love,,Cambridge - The Junction,
14 January 1990,"On this day in 1990 Mike saw Mighty Lemon Drops supported by We Are Going To Eat You, Ride at London Astoria",14,1,1990,Mighty Lemon Drops,Mighty Lemon Drops,"We Are Going To Eat You, Ride",London Astoria,
14 January 1993,On this day in 1993 Mike saw New Fast Automatic Daffodils supported by Hug at Cambridge - The Junction,14,1,1993,New Fast Automatic Daffodils,New Fast Automatic Daffodils,Hug,Cambridge - The Junction,
14 January 1994,On this day in 1994 Mike saw Pagan Billy at Cambridge Boat Race,14,1,1994,Pagan Billy,Pagan Billy,,Cambridge Boat Race,
16 January 1991,On this day in 1991 Mike saw Pop Will Eat Itself supported by Poets at Cambridge Corn Exchange,16,1,1991,Pop Will Eat Itself,Pop Will Eat Itself,Poets,Cambridge Corn Exchange,
16 January 1992,On this day in 1992 Mike saw Robyn Hitchcock & the Egyptians supported by Strangelove at Cambridge - The Junction,16,1,1992,Robyn Hitchcock & the Egyptians,Robyn Hitchcock & the Egyptians,Strangelove,Cambridge - The Junction,
20 January 2005,On this day in 2005 Mike saw Pop Will Eat Itself at Nottingham Rock City,20,1,2005,Pop Will Eat Itself,Pop Will Eat Itself,,Nottingham Rock City,
21 January 1993,On this day in 1993 Mike saw Julian Cope at Cambridge Corn Exchange,21,1,1993,Julian Cope,Julian Cope,,Cambridge Corn Exchange,
21 January 2009,On this day in 2009 Mike saw Buzzcocks supported by Lurkers at Nottingham Rock City,21,1,2009,Buzzcocks,Buzzcocks,Lurkers,Nottingham Rock City,
22 January 1993,On this day in 1993 Mike saw Th' Faith Healers supported by Mambo Taxis at Cambridge Boat Race,22,1,1993,Th' Faith Healers,Th' Faith Healers,Mambo Taxis,Cambridge Boat Race,
23 January 1991,"On this day in 1991 Mike saw Silverfish supported by Fudge Tunnel, The Black Sky at Cambridge - The Junction",23,1,1991,Silverfish,Silverfish,"Fudge Tunnel, The Black Sky",Cambridge - The Junction,
23 January 2005,"On this day in 2005 Mike saw Killers supported by Bloc Party, Futureheads, Kaiser Chiefs at Nottingham Rock City",23,1,2005,Killers,The Killers,"Bloc Party, Futureheads, Kaiser Chiefs",Nottingham Rock City,
25 January 1991,"On this day in 1991 Mike saw Power of Dreams supported by Hollow Men, Kingmaker at University of London (ULU)",25,1,1991,Power of Dreams,Power of Dreams,"Hollow Men, Kingmaker",University of London (ULU),
25 January 2008,On this day in 2008 Mike saw Morrissey supported by Girl in a Coma at Camden Roundhouse,25,1,2008,Morrissey,Morrissey,Girl in a Coma,Camden Roundhouse,
25 January 2019,On this day in 2019 Mike saw Wave Pictures at Nottingham Boat Club,25,1,2019,Wave Pictures,The Wave Pictures,,Nottingham Boat Club,
26 January 1989,"On this day in 1989 Mike saw Darling Buds supported by Snapdragons, Blue Aeroplanes at London Town & Country Club",26,1,1989,Darling Buds,Darling Buds,"Snapdragons, Blue Aeroplanes",London Town & Country Club,
26 January 2016,On this day in 2016 Mike saw Savages at London 100 Club,26,1,2016,Savages,Savages,,London 100 Club,
